Arvicanthis niloticus,,,,,,,,,,,,,,,,,,,
Arvicanthis rufinus,,,,,,,,,,,,,,,,,,,
Arvicola amphibius,Arvicola terrestris,Mus amphibius,,,,,,,,,,,,,,,,,
Arvicola sapidus,,,,,,,,,,,,,,,,,,,
Arvicola scherman,,,,,,,,,,,,,,,,,,,
Asellia arabica,,,,,,,,,,,,,,,,,,,
Asellia italosomalica,,,,,,,,,,,,,,,,,,,
Asellia patrizii,,,,,,,,,,,,,,,,,,,
Asellia tridens,,,,,,,,,,,,,,,,,,,
Aselliscus stoliczkanus,,,,,,,,,,,,,,,,,,,
Aselliscus tricuspidatus,,,,,,,,,,,,,,,,,,,
Atelerix albiventris,Erinaceus albiventris,,,,,,,,,,,,,,,,,,
Atelerix algirus,,,,,,,,,,,,,,,,,,,
Atelerix frontalis,,,,,,,,,,,,,,,,,,,
Atelerix sclateri,,,,,,,,,,,,,,,,,,,
Ateles belzebuth,Ateles belzebuth subspecies belzebuth,,,,,,,,,,,,,,,,,,
Ateles chamek,Ateles longimembris,Ateles peruvianus,,,,,,,,,,,,,,,,,
Ateles fusciceps,,,,,,,,,,,,,,,,,,,
Ateles geoffroyi,Ateles fusciceps,,,,,,,,,,,,,,,,,,
Ateles hybridus,Ateles belzebuth subspecies brunneus,,,,,,,,,,,,,,,,,,
Ateles marginatus,Ateles belzebuth subspecies marginatus,,,,,,,,,,,,,,,,,,
Ateles paniscus,,,,,,,,,,,,,,,,,,,
Atelocynus microtis,,,,,,,,,,,,,,,,,,,
Atherurus africanus,,,,,,,,,,,,,,,,,,,
Atherurus macrourus,Atherurus assamensis,Atherurus macrourus subspecies assamensis,Hystrix macroura,Hystrix macrourus,,,,,,,,,,,,,,,
Atilax paludinosus,,,,,,,,,,,,,,,,,,,
Atlantoxerus getulus,,,,,,,,,,,,,,,,,,,
Atopogale cubana,Atopogale cubanus,Solenodon cubanus,,,,,,,,,,,,,,,,,
Auliscomys boliviensis,,,,,,,,,,,,,,,,,,,
Auliscomys pictus,,,,,,,,,,,,,,,,,,,
Auliscomys sublimis,,,,,,,,,,,,,,,,,,,
Austronomus australis,Tadarida australis,,,,,,,,,,,,,,,,,,
Austronomus kuboriensis,Tadarida kuboriensis,,,,,,,,,,,,,,,,,,
Avahi betsileo,,,,,,,,,,,,,,,,,,,
Avahi cleesei,,,,,,,,,,,,,,,,,,,
Avahi laniger,,,,,,,,,,,,,,,,,,,
Avahi meridionalis,,,,,,,,,,,,,,,,,,,
Avahi mooreorum,,,,,,,,,,,,,,,,,,,
Avahi occidentalis,,,,,,,,,,,,,,,,,,,
Avahi peyrierasi,,,,,,,,,,,,,,,,,,,
Avahi ramanantsoavanai,,,,,,,,,,,,,,,,,,,
Avahi unicolor,,,,,,,,,,,,,,,,,,,
Axis axis,Cervus axis,,,,,,,,,,,,,,,,,,
Axis calamianensis,Axis porcinus subspecies calamianensis,Cervus calamianensis,Hyelaphus calamianensis,,,,,,,,,,,,,,,,
Axis kuhlii,Cervus kuhlii,,,,,,,,,,,,,,,,,,
Axis porcinus,,,,,,,,,,,,,,,,,,,
Babyrousa babyrussa,Babyrousa alfurus,Babyrousa babirousa,Babyrousa babirusa,Babyrousa babirussa,Babyrousa babyrussa subspecies babyrussa,Babyrousa frosti,Babyrousa indicus,Babyrousa orientalis,Babyrousa quadricornus,Sus babyrussa,,,,,,,,,
Babyrousa celebensis,Babirussa celebensis,Babyrousa babyrussa subspecies celebensis,Babyrousa babyrussa subspecies merkusi,Babyrousa bolabatuensis,Babyrousa merkusi,,,,,,,,,,,,,,
Babyrousa togeanensis,Babirussa babyrussa subspecies togeanensis,Babyrousa babyrussa subspecies togeanensis,,,,,,,,,,,,,,,,,
Baiomys musculus,,,,,,,,,,,,,,,,,,,
Baiomys taylori,,,,,,,,,,,,,,,,,,,
Baiyankamys habbema,Hydromys habbema,,,,,,,,,,,,,,,,,,
Baiyankamys shawmayeri,Hydromys shawmayeri,,,,,,,,,,,,,,,,,,
Balaena mysticetus,,,,,,,,,,,,,,,,,,,
Balaenoptera acutorostrata,,,,,,,,,,,,,,,,,,,
Balaenoptera bonaerensis,,,,,,,,,,,,,,,,,,,
Balaenoptera borealis,,,,,,,,,,,,,,,,,,,
Balaenoptera edeni,Balaenoptera brydei,,,,,,,,,,,,,,,,,,
Balaenoptera musculus,,,,,,,,,,,,,,,,,,,
Balaenoptera omurai,,,,,,,,,,,,,,,,,,,
Balaenoptera physalus,,,,,,,,,,,,,,,,,,,
Balantiopteryx infusca,,,,,,,,,,,,,,,,,,,
Balantiopteryx io,,,,,,,,,,,,,,,,,,,
Balantiopteryx plicata,,,,,,,,,,,,,,,,,,,
